year,month,element,day1,day2,day3,day4,day5,day6,day7,day8,day9,day10,day11,day12,day13,day14,day15,day16,day17,day18,day19,day20,day21,day22,day23,day24,day25,day26,day27,day28,day29,day30,day31
2018,1,max,20.836561,18.650176,21.418827,22.353077,19.531531,18.311828,17.159216,20.899307,18.322644,21.856583,21.834916,19.041503,22.743278,17.556475,22.084966,21.84277,20.217369,19.271206,21.976428,22.170241,21.227431,18.36739,17.478752,17.606009,20.814107,19.221086,18.601867,20.888212,18.026832,17.980415,22.93714
2018,1,min,16.736518,13.757333,14.712029,18.005322,15.412342,12.290407,12.363865,14.719541,11.965581,17.830588,15.042358,14.419585,17.3969,13.16961,15.670062,14.923842,12.324905,13.063044,15.502349,15.860833,17.044133,13.209838,12.547588,12.494114,15.354778,14.383058,10.855249,14.451688,11.110325,12.462593,16.377141
2018,2,max,24.341698,26.057112,22.374288,22.892718,22.265897,26.258206,24.932632,26.487286,22.589281,24.368209,24.507516,23.396403,26.985226,21.545456,21.657895,25.752476,21.381166,26.976728,26.82647,21.068886,25.090262,22.600951,21.669313,23.722342,26.255118,24.003517,26.475767,22.790669,24.653821,25.575065,25.671759
2018,2,min,17.603241,18.953112,18.245887,17.821755,14.494258,20.999494,19.350104,20.651878,17.602771,19.317242,16.916224,18.51912,20.94712,17.356991,15.148111,20.063836,15.854689,20.860271,19.383351,14.185999,18.942381,16.037104,15.930252,15.907079,21.201561,19.288909,18.993693,16.234871,20.042464,19.417549,19.550344
2018,3,max,23.931635,24.045064,29.200534,25.773288,29.196261,24.442124,24.343478,28.52321,26.779897,25.518543,26.467031,27.16398,25.13511,29.899099,26.556804,24.654228,25.956717,25.308892,24.354162,25.301854,29.086016,25.356231,25.213624,29.541289,26.764229,28.773185,24.509788,26.469675,28.302658,29.833194,26.343931
2018,3,min,18.63501,16.328669,21.873872,21.541587,21.408463,18.498162,17.30107,24.009644,20.580683,18.028811,21.619838,20.244255,19.888244,23.299587,20.4865,19.755439,19.603482,20.428022,17.82975,17.680174,24.802586,18.68032,20.684377,23.257116,19.625752,24.011546,18.785583,20.601576,21.6092,25.439523,20.986721
2018,4,max,30.170035,26.141253,27.53129,26.498839,27.658784,28.301952,30.995695,30.813978,30.092174,27.913847,27.406242,27.273839,26.591218,27.73005,30.743906,28.33461,25.928781,30.812256,28.253171,25.342992,28.017102,25.944596,25.480669,28.570211,26.411223,30.341724,28.567115,27.515349,28.136696,26.225555,26.432116
2018,4,min,25.17541,20.346799,22.417109,18.805776,20.213388,24.099599,23.651584,23.10851,25.42693,23.058858,23.1717,19.332603,19.454936,22.03802,22.762215,21.460977,20.74195,24.495535,21.261269,19.006281,20.606223,18.101481,20.737369,21.86936,21.931677,25.356862,22.089589,21.18066,20.397871,19.360788,20.848972
2018,5,max,27.958345,25.825266,24.363462,29.91893,24.367768,25.519406,29.213388,26.145366,28.930673,27.59827,27.852061,28.830828,27.908536,24.73395,24.570419,25.562293,28.233876,27.733631,26.859394,29.004826,26.469658,23.949477,27.750883,28.375589,26.494325,24.379666,29.351775,28.935773,24.816766,25.777753,28.704937
2018,5,min,22.758356,18.817808,18.53032,21.934544,19.51515,17.786368,21.696307,21.514378,22.116513,19.649338,23.820769,23.633313,20.152816,20.272235,18.357525,19.142973,23.419487,22.677695,19.238048,24.635632,21.362937,16.865,22.703062,22.168867,22.455646,16.847241,23.169414,22.605735,20.306984,18.181827,21.262127
2018,6,max,26.393548,22.497178,25.680697,23.438264,21.92732,26.187634,25.86463,21.148718,22.993113,25.813411,25.864496,25.724247,26.233001,22.334602,23.761819,25.772073,21.141987,22.969572,26.801335,24.84889,26.886898,26.635423,26.822404,26.775206,21.650415,25.37127,24.637253,23.311173,22.528335,21.010148,24.230712
2018,6,min,21.553242,18.086004,18.144159,16.955618,14.207796,18.28281,18.338966,14.20246,15.269849,18.357155,20.797273,21.291865,18.798628,15.068256,18.541056,20.861691,16.369467,15.51216,21.684835,19.250177,20.742035,22.174056,22.108132,21.71334,15.91216,20.116561,18.591561,17.00482,15.693194,13.307847,17.352992
